"loc","loc_lat","loc_lng","count"
Mosul Airport (OSM) (   Iraq),"36.34852","43.14307",5
Bristol Airport (BRS) (   United Kingdom),"51.38647",-2.70553,5
"Birmingham Airport, AL (BHM) (   United States of America)","33.52478",-86.79414,5
Aden (   Yemen),"12.81509","45.02975",5
München-Franz Josef Strauss Airport (MUC) (   Germany),"48.14272","11.58371",5
Guatemala City-La Aurora Airport (GUA) (   Guatemala),"14.63462",-90.50911,5
"Rimouski Airport, QC (YXK) (   Canada)","48.44935",-68.52474,5
Manchester Airport (MAN) (   United Kingdom),"53.36531",-2.27409,5
"Seattle-Boeing Field International Airport, WA (BFI) (   United States of America)","47.5799",-122.32141,5
Casablanca (   Morocco),"33.59662",-7.61889,5
"near Belém, PA (   Brazil)",-1.45643,-48.50327,5
"Roswell-Walker AFB, NM (   United States of America)","33.31817",-104.52315,5
"Detroit City Airport, MI (DET) (   United States of America)","42.40716",-83.02322,5
"Akron/Canton Regional Airport, OH (CAK) (   United States of America)","41.00881",-81.41022,5
"Tampa International Airport, FL (TPA) (   United States of America)","27.96139",-82.5128,5
Vientiane-Wattay Airport (VTE) (   Laos),"17.94743","102.61985",5
"Boca Raton Public Airport, FL (BCT) (   United States of America)","26.38146",-80.10964,5
Myitkyina North (   Myanmar),"25.38849","97.37494",5
Tokyo (   Japan),"35.68409","139.80885",5
"Nashville Metropolitan Airport, TN (BNA) (   United States of America)","36.12811",-86.69023,5
near Wesel (   Germany),"51.65573","6.61684",5
"Kodiak NAS, AK (ADQ) (   United States of America)","57.79518",-152.39469,5
Lae-Nadzab Airport (LAE) (   Papua New Guinea),-6.51687,"146.71313",5
Kupang-El Tari Airport (KOE) (   Indonesia),-10.15716,"123.65957",5
Comilla Airport (CLA) (   Bangladesh),"23.46418","91.18829",5
Kobenhavn-Kastrup Airport (CPH) (   Denmark),"55.67567","12.56756",5
"Oakland International Airport, CA (OAK) (   United States of America)","37.7204",-122.20103,5
Mbuji-Mayi Airport (MJM) (   Congo (Democratic Republic)),-6.10796,"23.62606",5
Taipei-Songshan Airport (TSA) (   Taiwan),"25.05004","121.5773",5
Praha-Ruzyne Airport (PRG) (   Czech Republic),"50.08245","14.31048",5
Ambon-Pattimura Airport (AMQ) (   Indonesia),-3.70218,"128.18734",4
Amman-Marka International Airport (ADJ) (   Jordan),"31.97849","35.98161",4
"Fairbanks International Airport, AK (FAI) (   United States of America)","64.83702",-147.74268,4
Hyderabad-Begumpet Airport (HYD) (   India),"17.44612","78.47085",4
Abingdon RAF Station (ABB) (   United Kingdom),"51.62159",-1.32005,4
Kos Airport (KGS) (   Greece),"36.89044","27.28932",4
Bilbao Airport (BIO) (   Spain),"41.40295","2.20339",4
Balikpapan-Sepingan Airport (BPN) (   Indonesia),-1.1589,"116.86835",4
"San Francisco Bay, CA (   United States of America)","37.81763",-122.35476,4
Erding Air Base (   Germany),"48.30872","11.90818",4
within China (   China),"39.90657","116.38766",4
"Newark, NJ (   United States of America)","40.73198",-74.17421,4
"São Paulo-Viracopos Airport, SP (VCP) (   Brazil)",-23.01614,-47.14525,4
Brindisi-Papola Casale Airport (BDS) (   Italy),"40.6347","17.94026",4
Lubumbashi-Luano (FBM) (   Congo (Democratic Republic)),-11.59428,"27.5502",4
"Sydney-Mascot Airport, NSW (SYD) (   Australia)",-33.94604,"151.17712",4
"La Ronge Airport, SK (YVC) (   Canada)","55.1125",-105.29533,4
Adler/Sochi Airport (AER) (   Russia),"43.43612","39.93193",4
"Grenada AAB, MS (   United States of America)","33.78399",-89.81,4
"Tucson International Airport, AZ (TUS) (   United States of America)","32.11651",-110.92913,4
Cape Town International Airport (CPT) (   South Africa),-33.97817,"18.59109",4
Wunstorf RAF Station (   Germany),"52.42605","9.43001",4
Ergolding Advanced Landing Ground R-73 (   Germany),"48.57737","12.17162",4
Shiraz Airport (SYZ) (   Iran),"29.59101","52.53056",4
